ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,09-Mar-11,GZ999-North West Region,226203-Court Reporters Cap Writers,CATER WALSH REPORTING LTD,331129,"£75,859.62"
HMCS,09-Mar-11,BZ999-London Region,226203-Court Reporters Cap Writers,MERRILL LEGAL SOLUTIONS,1520399,"£26,014.89"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS BSB#DX 37905,328750,"£28,063.23"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS IRWIN MITCHELL#DX 14368,328946,"£30,049.73"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS HOGAN LOVELLS INTERNATIONAL LLP#EC1A 2FG,328929,"£508,281.12"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,CRICK & MARDLING#DX 23402,328612,"£51,134.67"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS KIRKLAND & ELLIS INTERNATIONAL LLP#EC3A 8AF,328986,"£301,659.89"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS EDWARD FAIL BRADSHAW &  WATERSON#DX 300701,328842,"£54,829.05"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365,"£502,305.13"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365,"£848,128.65"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS MIKE NORTHERN LEGAL#DA11 0LH,340761,"£79,150.50"
HMCS,09-Mar-11,AW999-Operations & Performance Dir.,226406-Interpreters Fees (VAT recoverable),SIGN SOLUTIONS,1521536,"£44,359.63"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS FREEDMAN SHARMAN & COMPANY#DX 45603,1515438,"£33,199.01"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS CHARTWELL & SADLERS#SE15 2LB,328769,"£140,343.99"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS STRATFORD SOLICITORS#B14 7QA,329179,"£31,582.98"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS PETERS & PETERS# DX 407,1515521,"£63,179.95"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,FORBES & PARTNERS#DX 710059,1515347,"£80,355.08"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS VLS SOLICITORS#N17 0DH,1515577,"£36,493.80"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,RILEY HAYES & CO#DX 10432,1515739,"£29,887.69"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SHEARMAN BOWEN LTD#DX 218,1515539,"£116,274.43"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SAKHI SOLICITORS#DX 10814,329139,"£147,726.61"
